Azizul Zahid,,,,,,,,,,,,,,,,,,,,,,,,
Wrap:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
random seed:,1707325706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,,,,,18,,,,,,,
Rule:,4.13E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,4,0.992,0.923076923,1.921242809,2.199687795,0.568746268,"It has both chaotic and pattern characteristics, but I am going with class 4",,,,,,,,,,,,,Standard Deviation,,,
1,2,4,0.944,0.846153846,2.053177307,2.257756064,0.633246411,"It has both chaotic and pattern characteristics, but I am going with class 4",,,,,,,,,,,,,Class 1,class 2,class 3,class 4
2,8,3,0.824,0.769230769,2.258797526,2.295465679,0.755411443,Chaotic,,,,,,,,,,,,Lambda,0.256201475,0.214979225,0.241132906,0.226337477
3,5,3,0.68,0.692307692,2.040510728,2.199687795,0.822132552,Chaotic,,,,,,,,,,,,Lambda_t,0.230321128,0.206911554,0.219816945,0.233724996
4,1,3,0.656,0.615384615,2.024968907,2.133937566,0.951317552,Chaotic,,,,,,,,,,,,H,0.677370635,0.325447397,0.391275834,0.283551923
5,10,3,0.608,0.538461538,1.97372398,1.987773371,1.090900655,Chaotic,,,,,,,,,,,,H_t,0.680666883,0.287993596,0.428049866,0.402700426
6,11,3,0.584,0.461538462,1.841346416,1.669180337,1.18683609,"Though it has some pattern, but mostly chaotic",,,,,,,,,,,,Zeta,0.964718054,0.367690198,0.494380554,0.525467878
7,12,3,0.576,0.384615385,1.827264194,1.488525295,1.361071001,"Though it has some pattern, but mostly chaotic",,,,,,,,,,,,,,,,
8,7,4,0.432,0.307692308,1.666707572,1.352030102,1.614873845,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,,Average,,,
9,3,4,0.352,0.230769231,1.477295382,1.145110414,1.970676308,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,,Class 1, Class 2,Class 3,Class 4
10,9,4,0.272,0.153846154,1.113597933,0.773228349,2.545638427,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,Lambda,0.289676647,0.774857143,0.654541176,0.690222222
11,6,1,0.12,0.076923077,0.529360865,0.391243564,3.442762858,Fixed and homogenous,,,,,,,,,,,,Lambda_t,0.252878858,0.692307692,0.602262443,0.61965812
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,H,0.946342698,1.726960187,1.750446149,1.830584379
,,,,,,,,,,,,,,,,,,,,H_t,0.935365518,1.922266096,1.811572016,1.877611645
,,,,,,,,,,,,,,,,,,,,Zeta,2.299309183,0.966978769,1.09371798,1.082639449
Experiment #:,1,,,,,,,,,,,,,,,,,,,,,,,
Rule:,4.34E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.101344998,1.573402452,0.417975356,"chaotic, no pattern",,,,,,,,,,,,,,,,
1,8,3,0.872,0.846153846,1.480706357,1.738149333,0.542221609,"chaotic, no pattern",,,,,,,,,,,,,,,,
2,12,3,0.864,0.769230769,1.43681141,1.52623491,0.598898091,"chaotic, no pattern",,,,,,,,,,,,,,,,
3,2,3,0.816,0.692307692,1.49908308,1.52623491,0.715279412,"chaotic, no pattern",,,,,,,,,,,,,,,,
4,6,3,0.664,0.615384615,1.579296635,1.548580607,0.842193903,"chaotic, no pattern",,,,,,,,,,,,,,,,
5,10,3,0.616,0.538461538,1.5598472,1.52623491,0.981568477,"chaotic, no pattern",,,,,,,,,,,,,,,,
6,5,3,0.472,0.461538462,1.468856002,1.419556299,1.135537122,"chaotic, no pattern",,,,,,,,,,,,,,,,
7,11,3,0.448,0.384615385,1.440183779,1.334679141,1.327266994,"chaotic, no pattern",,,,,,,,,,,,,,,,
8,7,3,0.304,0.307692308,1.138893861,1.140115679,1.560470005,"chaotic, no pattern",,,,,,,,,,,,,,,,
9,9,3,0.224,0.230769231,0.767404417,0.779349837,1.873196312,"chaotic, no pattern",,,,,,,,,,,,,,,,
10,4,1,0.104,0.153846154,0.481548544,0.619382195,2.391139814,Fixed and homogenous,,,,,,,,,,,,,,,,
11,1,1,0.08,0.076923077,0.40217919,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,3,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,2,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.41E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,2,0.992,0.923076923,1.919538735,2.16197818,0.609369496,Mixed of homogenous and periodic pattern lines,,,,,,,,,,,,,,,,
1,1,4,0.968,0.846153846,2.023834194,2.257756064,0.677717287,Periodic dominant,,,,,,,,,,,,,,,,
2,9,3,0.888,0.769230769,2.179932904,2.295465679,0.802610368,Chaotic dominant,,,,,,,,,,,,,,,,
3,12,3,0.88,0.692307692,2.180702912,2.199687795,0.921799,Chaotic dominant,,,,,,,,,,,,,,,,
4,2,1,0.832,0.615384615,2.180702912,2.075869297,1.052499733,Fixed and homogenous,,,,,,,,,,,,,,,,
5,5,1,0.688,0.538461538,2.225390044,1.987773371,1.147484652,Fixed and homogenous,,,,,,,,,,,,,,,,
6,7,1,0.544,0.461538462,2.025730945,1.823026491,1.249745338,Fixed and homogenous,,,,,,,,,,,,,,,,
7,8,1,0.424,0.384615385,1.600478862,1.488525295,1.436030872,Fixed and homogenous,,,,,,,,,,,,,,,,
8,11,1,0.4,0.307692308,1.565140713,1.352030102,1.710843776,Fixed and homogenous,,,,,,,,,,,,,,,,
9,10,1,0.352,0.230769231,1.477295382,1.145110414,2.094373392,Fixed and homogenous,,,,,,,,,,,,,,,,
10,4,1,0.232,0.153846154,0.997093854,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,3,1,0.152,0.076923077,0.614822757,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,6,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,3,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.22E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.762377025,2.038159682,0.60031423,Chaotic,,,,,,,,,,,,,,,,
1,8,2,0.872,0.846153846,2.019109718,2.133937566,0.678076946,Periodic dominant,,,,,,,,,,,,,,,,
2,7,3,0.728,0.769230769,1.903554425,2.133937566,0.755716809,Chaotic,,,,,,,,,,,,,,,,
3,11,3,0.704,0.692307692,1.831385222,2.038159682,0.834639802,Chaotic,,,,,,,,,,,,,,,,
4,3,3,0.624,0.615384615,1.86049927,2.038159682,0.963287633,Chaotic,,,,,,,,,,,,,,,,
5,10,3,0.576,0.538461538,1.854717589,1.987773371,1.106633608,Chaotic,,,,,,,,,,,,,,,,
6,12,3,0.568,0.461538462,1.840417589,1.823026491,1.28997057,Chaotic,,,,,,,,,,,,,,,,
7,9,3,0.488,0.384615385,1.520283238,1.488525295,1.437746073,Chaotic,,,,,,,,,,,,,,,,
8,2,2,0.44,0.307692308,1.484521627,1.352030102,1.708987463,Periodic dominant,,,,,,,,,,,,,,,,
9,1,2,0.416,0.230769231,1.340101675,0.991264261,1.950592293,Periodic dominant,,,,,,,,,,,,,,,,
10,6,1,0.264,0.153846154,1.095146613,0.773228349,2.467532468,Fixed and homogenous,,,,,,,,,,,,,,,,
11,5,1,0.12,0.076923077,0.529360865,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,4,,,,,,,,,,,,,,,,,,,,,,,
Rule:,2.44E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,2,0.992,0.923076923,1.790043831,2.075869297,0.599282812,Periodic pattern,,,,,,,,,,,,,,,,
1,12,3,0.984,0.846153846,1.815621851,2.133937566,0.660790764,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,1,3,0.96,0.769230769,1.886820992,2.133937566,0.762800683,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,10,3,0.912,0.692307692,1.958354389,2.038159682,0.86872741,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,2,3,0.864,0.615384615,2.060786244,2.038159682,1.009658555,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,8,3,0.744,0.538461538,2.188149296,1.987773371,1.170754748,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,4,1,0.624,0.461538462,2.169411461,1.88109476,1.361071001,Fixed and homogenous,,,,,,,,,,,,,,,,
7,11,1,0.6,0.384615385,2.119485876,1.700439718,1.483664882,Fixed and homogenous,,,,,,,,,,,,,,,,
8,7,1,0.456,0.307692308,1.876541822,1.505876256,1.764137283,Fixed and homogenous,,,,,,,,,,,,,,,,
9,3,1,0.376,0.230769231,1.53178487,1.145110414,2.094373392,Fixed and homogenous,,,,,,,,,,,,,,,,
10,6,1,0.224,0.153846154,0.978028471,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,9,1,0.144,0.076923077,0.594619344,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,5,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,5,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.12E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,4,0.992,0.923076923,1.985941412,2.10390991,0.59576374,Mixed of localized and periodic pattern,,,,,,,,,,,,,,,,
1,3,2,0.912,0.846153846,2.176651464,2.16197818,0.709307093,mostly periodic,,,,,,,,,,,,,,,,
2,2,2,0.864,0.769230769,2.222527443,2.199687795,0.783641999,mostly periodic,,,,,,,,,,,,,,,,
3,9,4,0.784,0.692307692,2.289296726,2.199687795,0.916044492,Mixed of localized and periodic pattern,,,,,,,,,,,,,,,,
4,8,3,0.664,0.615384615,2.156611973,2.133937566,1.001071185,mostly chaotic and little bit of pattern,,,,,,,,,,,,,,,,
5,7,3,0.52,0.538461538,2.004913034,2.045841641,1.163904139,mostly chaotic and little bit of pattern,,,,,,,,,,,,,,,,
6,5,3,0.376,0.461538462,1.518598735,1.727248606,1.302049796,mostly chaotic and little bit of pattern,,,,,,,,,,,,,,,,
7,1,2,0.352,0.384615385,1.436623318,1.546593564,1.445632211,periodic with homogenous states,,,,,,,,,,,,,,,,
8,11,2,0.328,0.307692308,1.388383794,1.352030102,1.710843776,periodic with homogenous states,,,,,,,,,,,,,,,,
9,6,1,0.176,0.230769231,0.82002965,0.991264261,2.080006398,Fixed and homogenous,,,,,,,,,,,,,,,,
10,12,1,0.168,0.153846154,0.798113368,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,10,1,0.12,0.076923077,0.529360865,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,6,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.42E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,4,0.992,0.923076923,1.287398507,1.88109476,0.502735087,Periodic pattern with some abrupt change and pattern,,,,,,,,,,,,,,,,
1,8,3,0.872,0.846153846,1.710124318,2.045841641,0.622266683,mostly chaotic and little bit of pattern,,,,,,,,,,,,,,,,
2,4,3,0.752,0.769230769,1.892872506,2.133937566,0.742359053,mostly chaotic and little bit of pattern,,,,,,,,,,,,,,,,
3,1,1,0.728,0.692307692,1.801723298,2.038159682,0.803535679,Fixed and homogenous,,,,,,,,,,,,,,,,
4,10,1,0.68,0.615384615,1.830465447,2.038159682,0.937158084,Fixed and homogenous,,,,,,,,,,,,,,,,
5,5,1,0.536,0.538461538,1.807818284,1.987773371,1.087166826,Fixed and homogenous,,,,,,,,,,,,,,,,
6,9,1,0.456,0.461538462,1.721769686,1.88109476,1.26163125,Fixed and homogenous,,,,,,,,,,,,,,,,
7,11,1,0.432,0.384615385,1.677733235,1.700439718,1.483664882,Fixed and homogenous,,,,,,,,,,,,,,,,
8,12,1,0.424,0.307692308,1.616912798,1.352030102,1.620319496,Fixed and homogenous,,,,,,,,,,,,,,,,
9,7,1,0.28,0.230769231,1.09712457,0.991264261,1.971446207,Fixed and homogenous,,,,,,,,,,,,,,,,
10,6,1,0.128,0.153846154,0.674095106,0.773228349,2.545638427,Fixed and homogenous,,,,,,,,,,,,,,,,
11,3,1,0.048,0.076923077,0.277839574,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,2,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,7,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.44E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,2.00516831,2.199687795,0.576664007,Chaotic,,,,,,,,,,,,,,,,
1,5,3,0.848,0.846153846,2.059353555,2.199687795,0.679140494,Chaotic,,,,,,,,,,,,,,,,
2,11,3,0.824,0.769230769,1.958217672,1.987773371,0.782967578,Chaotic,,,,,,,,,,,,,,,,
3,6,3,0.672,0.692307692,1.927329575,1.950063756,0.914096191,Chaotic,,,,,,,,,,,,,,,,
4,1,2,0.648,0.615384615,1.894529032,1.826245258,1.060738916,Periodic,,,,,,,,,,,,,,,,
5,4,2,0.528,0.538461538,1.712902921,1.738149333,1.14111454,Periodic,,,,,,,,,,,,,,,,
6,3,1,0.448,0.461538462,1.642968188,1.669180337,1.331984538,Fixed and homogenous,,,,,,,,,,,,,,,,
7,8,1,0.328,0.384615385,1.188063251,1.334679141,1.571040706,Fixed and homogenous,,,,,,,,,,,,,,,,
8,7,1,0.184,0.307692308,0.872498823,1.198183948,1.905028105,Fixed and homogenous,,,,,,,,,,,,,,,,
9,2,1,0.136,0.230769231,0.7010533,0.991264261,2.405516006,Fixed and homogenous,,,,,,,,,,,,,,,,
10,9,1,0.056,0.153846154,0.344491046,0.773228349,2.838589981,Fixed and homogenous,,,,,,,,,,,,,,,,
11,10,1,0.008,0.076923077,0.067221545,0.391243564,3.427411234,Fixed and homogenous,,,,,,,,,,,,,,,,
12,12,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,8,,,,,,,,,,,,,,,,,,,,,,,
Rule:,4.32E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.876701658,2.075869297,0.55304871,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,10,3,0.944,0.846153846,2.01147732,2.133937566,0.616612618,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,11,3,0.92,0.769230769,2.042109931,2.075869297,0.679140494,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,5,3,0.776,0.692307692,2.208559152,2.10390991,0.802780608,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,3,3,0.696,0.615384615,1.955790938,1.826245258,0.914096191,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,1,3,0.672,0.538461538,1.951102198,1.738149333,1.059100351,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,6,3,0.52,0.461538462,1.518756751,1.419556299,1.142717018,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,12,3,0.512,0.384615385,1.511223731,1.334679141,1.331984538,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,2,3,0.464,0.307692308,1.453869193,1.198183948,1.571040706,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,7,3,0.32,0.230769231,1.209800339,0.991264261,1.905028105,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,8,3,0.2,0.153846154,0.916118214,0.773228349,2.423984807,Chaotic and no pattern,,,,,,,,,,,,,,,,
11,9,3,0.12,0.076923077,0.529360865,0.391243564,3.452484387,Chaotic and no pattern,,,,,,,,,,,,,,,,
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,9,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.21E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,2.021434926,2.199687795,0.528292322,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,6,3,0.84,0.846153846,2.295034094,2.257756064,0.633246411,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,12,3,0.832,0.769230769,2.2970917,2.257756064,0.745918011,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,4,3,0.712,0.692307692,2.209079617,2.16197818,0.814916086,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,5,3,0.568,0.615384615,1.968141216,2.038159682,0.93789916,Chaotic and no pattern,,,,,,,,,,,,,,,,
